TS_LOAD,SYS_DESC,VEH_SER_NO,OPR_NAME
6-Mar-17,OMT Offline Tracking,JIN079,Enter Offline
6-Mar-17,STVMS Tracking Chassis Start,LWM061,Chassis Start
6-Mar-17,STVMS Tracking Chassis Start,XWS890,Chassis Start
6-Mar-17,STVMS Tracking Chassis Start,ZJU865,Chassis Start
6-Mar-17,Cab Conveyer,JCV863,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,JCV863,Cab Upload
6-Mar-17,Hood Conveyor,JZP143,Hood Upload
6-Mar-17,Cab Conveyer,DRY562,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,DRY562,Cab Upload
6-Mar-17,U-BOLT,ZJC386,Front U-Bolt
6-Mar-17,OMT Offline Tracking,TBP914,Enter Offline
6-Mar-17,Paint Inspection,TJG894,PAINT
6-Mar-17,Cab call scan,QTF497,A Line
6-Mar-17,OMT Offline Tracking,TMU402,Enter Offline
6-Mar-17,Cab Call Scan,AQG261,B Line
6-Mar-17,Cab in white conveyer,IYM374,CIW upload
6-Mar-17,Paint Inspection,FHL296,PAINT
6-Mar-17,Hood Conveyor,TJG894,Hood Upload
6-Mar-17,STVMS Tracking Chassis Start,JZP143,Chassis Start
6-Mar-17,Cab Conveyer,IVC016,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,IVC016,Cab Upload
6-Mar-17,U-BOLT,ZJK473,Front U-Bolt
6-Mar-17,Paint Inspection,GWE561,PAINT
6-Mar-17,Hood Conveyor,FHL296,Hood Upload
6-Mar-17,OMT Offline Tracking,XJI184,Enter Offline
6-Mar-17,Cab in white conveyer,VRO359,CIW upload
6-Mar-17,STVMS Tracking Top Station,DIN812,Top Station
6-Mar-17,STVMS Tracking Top Station,LWM061,Top Station
6-Mar-17,STVMS Tracking Top Station,XWS890,Top Station
6-Mar-17,STVMS Tracking Chassis Start,ZBT013,Chassis Start
6-Mar-17,Cab Conveyer,NTD012,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,NTD012,Cab Upload
6-Mar-17,Cab call scan,YKL719,A Line
6-Mar-17,Assembly Line Tracker,XWS890,Pool 60 Start
6-Mar-17,Assembly Line Tracker,LWM061,Pool 60 Start
6-Mar-17,Assembly Line Tracker,DIN812,Pool 60 Start
6-Mar-17,U-BOLT,QTI468,Front U-Bolt
6-Mar-17,Cab Conveyer,HBM615,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,HBM615,Cab Upload
6-Mar-17,Cab in white conveyer,KQO271,CIW upload
6-Mar-17,Hood Conveyor,GWE561,Hood Upload
6-Mar-17,Paint Inspection,FCR320,PAINT
6-Mar-17,OMT Offline Tracking,PWR481,Sold
6-Mar-17,Cab in white conveyer,ULF935,CIW upload
6-Mar-17,OMT Offline Tracking,YRW680,Enter Offline
6-Mar-17,Cab Call Scan,IMS267,B Line
6-Mar-17,Paint Inspection,TEN567,PAINT
6-Mar-17,Cab Conveyer,QTF497,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,QTF497,Cab Upload
6-Mar-17,U-BOLT,DKE275,Front U-Bolt
6-Mar-17,Cab in white conveyer,NOL934,CIW upload
6-Mar-17,Paint Inspection,WBS653,PAINT
6-Mar-17,OMT Offline Tracking,BJM584,Enter Offline
6-Mar-17,Cab Conveyer,AQG261,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,AQG261,Cab Upload
6-Mar-17,Cab call scan,KIA624,A Line
6-Mar-17,STVMS Tracking Chassis Start,FHL296,Chassis Start
6-Mar-17,STVMS Tracking Chassis Start,TJG894,Chassis Start
6-Mar-17,STVMS Tracking Chassis Start,GWE561,Chassis Start
6-Mar-17,U-BOLT,MUJ483,Front U-Bolt
6-Mar-17,OMT Offline Tracking,LOF143,Enter Offline
6-Mar-17,Cab in white conveyer,IXJ859,CIW upload
6-Mar-17,OMT Offline Tracking,TEK452,Enter Offline
6-Mar-17,STVMS Tracking Chassis Start,TEN567,Chassis Start
6-Mar-17,Paint Inspection,JNM860,PAINT
6-Mar-17,Cab Conveyer,YKL719,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,YKL719,Cab Upload
6-Mar-17,Paint Inspection,ZJU865,PAINT
6-Mar-17,Cab Call Scan,YHP863,B Line
6-Mar-17,Cab call scan,SEU602,A Line
7-Mar-17,Cab Call Scan,ULN810,B Line
7-Mar-17,OMT Offline Tracking,SVK948,Enter Offline
7-Mar-17,U-BOLT,HMX073,Front U-Bolt
7-Mar-17,Hood Conveyor,CXD285,Hood Upload
7-Mar-17,Cab Conveyer,KWT597,Cab Upload 2
7-Mar-17,Cab Conveyor / Monorail,KWT597,Cab Upload
7-Mar-17,Paint Inspection,XGW598,PAINT
7-Mar-17,Paint Inspection,YDL247,PAINT
7-Mar-17,Assembly Line Tracker,EQK798,Pool 13 Start
7-Mar-17,Cab call scan,OIF375,A Line
7-Mar-17,Cab Conveyor / Monorail,MQH836,Cab Upload
7-Mar-17,STVMS Tracking Chassis Start,QFW209,Chassis Start
7-Mar-17,STVMS Tracking Chassis Start,SZP362,Chassis Start
7-Mar-17,Assembly Line Tracker,BIP389,Pool 13 Start
7-Mar-17,Assembly Line Tracker,SZP362,Pool 13 Start
7-Mar-17,U-BOLT,MVW427,Front U-Bolt
7-Mar-17,Hood Conveyor,BIP389,Hood Upload
7-Mar-17,Cab in white conveyer,GDR742,CIW upload
7-Mar-17,OMT Offline Tracking,EQK798,Enter Offline
7-Mar-17,Cab Conveyer,HRY673,Cab Upload 2
7-Mar-17,U-BOLT,USH564,Front U-Bolt
7-Mar-17,OMT Offline Tracking,SZP362,Enter Offline
7-Mar-17,U-BOLT,USH564,Rear U-Bolt
7-Mar-17,OMT Offline Tracking,TUQ327,Enter Offline
7-Mar-17,Cab Conveyer,KSP816,Cab Upload 2
7-Mar-17,Cab Conveyor / Monorail,KSP816,Cab Upload
7-Mar-17,Hood Conveyor,JCM567,Hood Upload
7-Mar-17,STVMS Tracking Chassis Start,WQB451,Chassis Start
7-Mar-17,Assembly Line Tracker,TFX540,Pool 13 Start
7-Mar-17,Assembly Line Tracker,KSX968,Pool 13 Start
7-Mar-17,U-BOLT,JKZ317,Front U-Bolt
7-Mar-17,Cab in white conveyer,QTF497,CIW upload
7-Mar-17,Cab Conveyer,LTV094,Cab Upload 2
7-Mar-17,Cab Conveyor / Monorail,LTV094,Cab Upload
7-Mar-17,Paint Inspection,FZA809,PAINT
7-Mar-17,STVMS Tracking Chassis Start,YCR723,Chassis Start
7-Mar-17,Cab Call Scan,QBR938,B Line
7-Mar-17,Cab Conveyer,ZIQ738,Cab Upload 2
7-Mar-17,Cab Conveyor / Monorail,ZIQ738,Cab Upload
7-Mar-17,Cab call scan,TZO690,A Line
7-Mar-17,Cab Conveyor / Monorail,EVB234,Cab Upload
7-Mar-17,Cab in white conveyer,UNM285,CIW upload
7-Mar-17,U-BOLT,FQP941,Rear U-Bolt
7-Mar-17,Cab call scan,GJK683,A Line
7-Mar-17,Paint Inspection,YBP783,PAINT
7-Mar-17,OMT Offline Tracking,EBL860,Enter Offline
7-Mar-17,OMT Offline Tracking,FHU982,Enter Offline
7-Mar-17,Cab in white conveyer,HOA438,CIW upload
7-Mar-17,Hood Conveyor,YBP783,Hood Upload
7-Mar-17,Cab Conveyer,YCU023,Cab Upload 2
7-Mar-17,OMT Offline Tracking,EBM074,Enter Offline
7-Mar-17,Paint Inspection,FCR320,PAINT
7-Mar-17,OMT Offline Tracking,YRW680,Enter Offline
7-Mar-17,Paint Inspection,TEN567,PAINT
7-Mar-17,Paint Inspection,WBS653,PAINT
7-Mar-17,OMT Offline Tracking,BJM584,Enter Offline
7-Mar-17,OMT Offline Tracking,BJM584,Sold
7-Mar-17,OMT Offline Tracking,LOF143,Enter Offline
7-Mar-17,OMT Offline Tracking,TEK452,Enter Offline
7-Mar-17,Paint Inspection,JNM860,PAINT
7-Mar-17,Hood Conveyor,EJO928,Hood Upload
7-Mar-17,Paint Inspection,HQD748,PAINT
7-Mar-17,Cab Conveyer,TGS974,Cab Upload 2
7-Mar-17,Cab Conveyor / Monorail,TGS974,Cab Upload
7-Mar-17,Cab in white conveyer,EUZ386,CIW upload
7-Mar-17,OMT Offline Tracking,JDY852,Enter Offline
7-Mar-17,Hood Conveyor,HMJ710,Hood Upload
7-Mar-17,Cab call scan,CXD285,A Line
7-Mar-17,Paint Inspection,VQD376,PAINT
7-Mar-17,Cab in white conveyer,TMZ629,CIW upload
7-Mar-17,U-BOLT,HRY673,Front U-Bolt
7-Mar-17,OMT Offline Tracking,UYZ958,Enter Offline
7-Mar-17,Paint Inspection,ZHB578,PAINT
7-Mar-17,STVMS Tracking Chassis Start,EUL768,Chassis Start
7-Mar-17,STVMS Tracking Chassis Start,GYI954,Chassis Start
7-Mar-17,STVMS Tracking Chassis Start,YTP390,Chassis Start
7-Mar-17,U-BOLT,AKC912,Front U-Bolt
7-Mar-17,Cab Call Scan,SYB619,B Line
7-Mar-17,Hood Conveyor,MVW427,Hood Upload
7-Mar-17,OMT Offline Tracking,BHK490,Enter Offline
7-Mar-17,STVMS Tracking Chassis Start,WXK853,Chassis Start
7-Mar-17,Cab call scan,CVE258,A Line
7-Mar-17,Paint Inspection,QJP284,PAINT
7-Mar-17,U-BOLT,DTP539,Front U-Bolt
7-Mar-17,Cab in white conveyer,SNI285,CIW upload
7-Mar-17,Cab Conveyer,PEK163,Cab Upload 2
7-Mar-17,Cab Conveyor / Monorail,PEK163,Cab Upload
7-Mar-17,OMT Offline Tracking,PYH561,Enter Offline
7-Mar-17,Hood Conveyor,AMZ845,Hood Upload
7-Mar-17,Cab Conveyer,ELI075,Cab Upload 2
7-Mar-17,Cab Conveyor / Monorail,ELI075,Cab Upload
7-Mar-17,Cab in white conveyer,PMN417,CIW upload
7-Mar-17,U-BOLT,IQS845,Front U-Bolt
7-Mar-17,OMT Offline Tracking,TNY179,Enter Offline
7-Mar-17,Cab Call Scan,BEM390,B Line
7-Mar-17,Cab in white conveyer,ZDI213,CIW upload
7-Mar-17,Hood Conveyor,HQD748,Hood Upload
7-Mar-17,Cab call scan,ETO603,A Line
7-Mar-17,U-BOLT,ZYA587,Front U-Bolt
7-Mar-17,Cab Conveyer,CXD285,Cab Upload 2
7-Mar-17,Cab Conveyor / Monorail,CXD285,Cab Upload
7-Mar-17,Hood Conveyor,QJP284,Hood Upload
7-Mar-17,STVMS Tracking Chassis Start,SOU593,Chassis Start
7-Mar-17,STVMS Tracking Chassis Start,IXM739,Chassis Start
7-Mar-17,STVMS Tracking Chassis Start,EJO928,Chassis Start
7-Mar-17,Cab in white conveyer,ALE837,CIW upload
7-Mar-17,Cab Call Scan,RCF947,B Line
7-Mar-17,OMT Offline Tracking,LWK693,Enter Offline
7-Mar-17,Paint Inspection,PGY640,PAINT
7-Mar-17,U-BOLT,IBA235,Front U-Bolt
7-Mar-17,Hood Conveyor,ZHB578,Hood Upload
7-Mar-17,Assembly Line Tracker,SOU593,Pool 13 Start
7-Mar-17,Assembly Line Tracker,WXK853,Pool 13 Start
7-Mar-17,Cab Conveyer,CVE258,Cab Upload 2
7-Mar-17,Cab Conveyor / Monorail,CVE258,Cab Upload
7-Mar-17,Cab in white conveyer,WQB451,CIW upload
7-Mar-17,Cab call scan,ALP937,A Line
7-Mar-17,Cab Conveyer,SYB619,Cab Upload 2
7-Mar-17,Cab Conveyor / Monorail,SYB619,Cab Upload
7-Mar-17,U-BOLT,MBP046,Front U-Bolt
7-Mar-17,STVMS Tracking Chassis Start,HMJ710,Chassis Start
7-Mar-17,STVMS Tracking Chassis Start,MVW427,Chassis Start
7-Mar-17,Hood Conveyor,VQD376,Hood Upload
7-Mar-17,Cab Conveyer,BEM390,Cab Upload 2
7-Mar-17,Cab Conveyor / Monorail,BEM390,Cab Upload
7-Mar-17,OMT Offline Tracking,QVS392,Enter Offline
7-Mar-17,OMT Offline Tracking,QVS392,Sold
7-Mar-17,Cab in white conveyer,KMA503,CIW upload
7-Mar-17,Assembly Line Tracker,HMJ710,Pool 13 Start
7-Mar-17,Assembly Line Tracker,EJO928,Pool 13 Start
7-Mar-17,Assembly Line Tracker,IXM739,Pool 13 Start
7-Mar-17,Paint Inspection,FIX581,PAINT
7-Mar-17,U-BOLT,FHL057,Front U-Bolt
7-Mar-17,Cab Call Scan,CSD174,B Line
7-Mar-17,Cab Conveyer,ETO603,Cab Upload 2
7-Mar-17,Cab Conveyor / Monorail,ETO603,Cab Upload
7-Mar-17,Cab in white conveyer,KSX968,CIW upload
7-Mar-17,STVMS Tracking Chassis Start,AMZ845,Chassis Start
7-Mar-17,Cab call scan,TPD286,A Line
7-Mar-17,Cab Conveyer,RCF947,Cab Upload 2
7-Mar-17,Cab Conveyor / Monorail,RCF947,Cab Upload
7-Mar-17,U-BOLT,BRL042,Front U-Bolt
7-Mar-17,OMT Offline Tracking,HZD382,Enter Offline
7-Mar-17,Assembly Line Tracker,MVW427,Pool 13 Start
7-Mar-17,STVMS Tracking Chassis Start,HQD748,Chassis Start
7-Mar-17,Cab in white conveyer,TFX540,CIW upload
7-Mar-17,OMT Offline Tracking,WDM529,Enter Offline
7-Mar-17,Cab Call Scan,JYI091,B Line
7-Mar-17,Assembly Line Tracker,AMZ845,Pool 13 Start
7-Mar-17,Paint Inspection,CSM507,PAINT
7-Mar-17,U-BOLT,LMN504,Front U-Bolt
7-Mar-17,STVMS Tracking Top Station,TCS146,Top Station
7-Mar-17,STVMS Tracking Top Station,OQA530,Top Station
7-Mar-17,STVMS Tracking Top Station,DFZ024,Top Station
7-Mar-17,STVMS Tracking Top Station,EQK798,Top Station
7-Mar-17,STVMS Tracking Top Station,TGS974,Top Station
7-Mar-17,STVMS Tracking Top Station,GDU671,Top Station
7-Mar-17,STVMS Tracking Top Station,ELI075,Top Station
7-Mar-17,STVMS Tracking Top Station,PEK163,Top Station
7-Mar-17,STVMS Tracking Top Station,SYB619,Top Station
7-Mar-17,STVMS Tracking Top Station,CXD285,Top Station
7-Mar-17,OMT Offline Tracking,EPB160,Enter Offline
7-Mar-17,OMT Offline Tracking,XSF309,Enter Offline
7-Mar-17,STVMS Tracking Top Station,BEM390,Top Station
7-Mar-17,STVMS Tracking Top Station,CVE258,Top Station
7-Mar-17,STVMS Tracking Top Station,ETO603,Top Station
7-Mar-17,STVMS Tracking Top Station,RCF947,Top Station
7-Mar-17,STVMS Tracking Top Station,ALP937,Top Station
7-Mar-17,Cab Conveyer,ALP937,Cab Upload 2
7-Mar-17,Cab Conveyor / Monorail,ALP937,Cab Upload
7-Mar-17,Assembly Line Tracker,ALP937,Pool 60 Start
7-Mar-17,Assembly Line Tracker,RCF947,Pool 60 Start
7-Mar-17,Assembly Line Tracker,ETO603,Pool 60 Start
7-Mar-17,Assembly Line Tracker,CVE258,Pool 60 Start
7-Mar-17,Assembly Line Tracker,BEM390,Pool 60 Start
7-Mar-17,Assembly Line Tracker,CXD285,Pool 60 Start
7-Mar-17,Assembly Line Tracker,SYB619,Pool 60 Start
7-Mar-17,Assembly Line Tracker,PEK163,Pool 60 Start
7-Mar-17,Assembly Line Tracker,ELI075,Pool 60 Start
7-Mar-17,Assembly Line Tracker,GDU671,Pool 60 Start
7-Mar-17,Assembly Line Tracker,TGS974,Pool 60 Start
7-Mar-17,Assembly Line Tracker,EQK798,Pool 60 Start
7-Mar-17,Assembly Line Tracker,DFZ024,Pool 60 Start
7-Mar-17,Assembly Line Tracker,OQA530,Pool 60 Start
7-Mar-17,Assembly Line Tracker,TCS146,Pool 60 Start
7-Mar-17,Cab call scan,TQL981,A Line
7-Mar-17,Cab in white conveyer,XFN395,CIW upload
7-Mar-17,U-BOLT,TPG078,Front U-Bolt
7-Mar-17,Paint Inspection,UHP854,PAINT
7-Mar-17,Cab Call Scan,KQN543,B Line
7-Mar-17,OMT Offline Tracking,ITO673,Enter Offline
7-Mar-17,OMT Offline Tracking,ITO673,Sold
7-Mar-17,STVMS Tracking Chassis Start,VQD376,Chassis Start
7-Mar-17,STVMS Tracking Chassis Start,QJP284,Chassis Start
7-Mar-17,Paint Inspection,PRA475,PAINT
7-Mar-17,Cab Conveyer,CSD174,Cab Upload 2
7-Mar-17,Cab Conveyor / Monorail,CSD174,Cab Upload
7-Mar-17,Hood Conveyor,PGY640,Hood Upload
7-Mar-17,Cab in white conveyer,TRL028,CIW upload
7-Mar-17,Assembly Line Tracker,VQD376,Pool 13 Start
7-Mar-17,Assembly Line Tracker,HQD748,Pool 13 Start
7-Mar-17,U-BOLT,XPR275,Front U-Bolt
7-Mar-17,STVMS Tracking Top Station,CSD174,Top Station
7-Mar-17,STVMS Tracking Top Station,TPD286,Top Station
7-Mar-17,STVMS Tracking Top Station,JYI091,Top Station
7-Mar-17,STVMS Tracking Top Station,TQL981,Top Station
7-Mar-17,STVMS Tracking Top Station,KQN543,Top Station
7-Mar-17,STVMS Tracking Top Station,XGW598,Top Station
7-Mar-17,STVMS Tracking Top Station,YDL247,Top Station
7-Mar-17,Paint Inspection,MGF879,PAINT
7-Mar-17,STVMS Tracking Top Station,CNZ205,Top Station
7-Mar-17,STVMS Tracking Top Station,MQH836,Top Station
7-Mar-17,STVMS Tracking Top Station,MRI015,Top Station
7-Mar-17,STVMS Tracking Top Station,HRY673,Top Station
7-Mar-17,STVMS Tracking Top Station,AKC912,Top Station
7-Mar-17,STVMS Tracking Top Station,DTP539,Top Station
7-Mar-17,STVMS Tracking Top Station,IQS845,Top Station
7-Mar-17,STVMS Tracking Top Station,ZYA587,Top Station
7-Mar-17,STVMS Tracking Top Station,IBA235,Top Station
7-Mar-17,STVMS Tracking Top Station,MBP046,Top Station
7-Mar-17,STVMS Tracking Top Station,FHL057,Top Station
7-Mar-17,STVMS Tracking Top Station,BRL042,Top Station
7-Mar-17,STVMS Tracking Top Station,LMN504,Top Station
7-Mar-17,STVMS Tracking Top Station,TPG078,Top Station
7-Mar-17,STVMS Tracking Top Station,XPR275,Top Station
7-Mar-17,STVMS Tracking Chassis Start,OTX594,Chassis Start
7-Mar-17,STVMS Tracking Chassis Start,LVP764,Chassis Start
7-Mar-17,STVMS Tracking Chassis Start,JBQ468,Chassis Start
7-Mar-17,Assembly Line Tracker,QVP853,Pool 13 Start
7-Mar-17,Paint Inspection,INW067,PAINT
7-Mar-17,Hood Conveyor,XLW275,Hood Upload
7-Mar-17,Cab Conveyer,PGY640,Cab Upload 2
7-Mar-17,Cab Conveyor / Monorail,PGY640,Cab Upload
7-Mar-17,OMT Offline Tracking,IBA235,Enter Offline
7-Mar-17,OMT Offline Tracking,IBA235,Sold
7-Mar-17,OMT Offline Tracking,ZYA587,Enter Offline
7-Mar-17,Assembly Line Tracker,YHB831,Pool 13 Start
7-Mar-17,Cab call scan,CSM507,A Line
7-Mar-17,Cab in white conveyer,SYV137,CIW upload
7-Mar-17,Hood Conveyor,WTB963,Hood Upload
7-Mar-17,Paint Inspection,NKM173,PAINT
7-Mar-17,STVMS Tracking Chassis Start,TPJ583,Chassis Start
7-Mar-17,Cab in white conveyer,ZVI392,CIW upload
7-Mar-17,Hood Conveyor,INW067,Hood Upload
7-Mar-17,Paint Inspection,AJF195,PAINT
7-Mar-17,U-BOLT,TYA561,Front U-Bolt
7-Mar-17,Cab Call Scan,PRA475,B Line
7-Mar-17,Cab Conveyer,UHP854,Cab Upload 2
7-Mar-17,Cab Conveyor / Monorail,UHP854,Cab Upload
7-Mar-17,OMT Offline Tracking,FHL057,Enter Offline
7-Mar-17,STVMS Tracking Chassis Start,QVP853,Chassis Start
7-Mar-17,Hood Conveyor,NKM173,Hood Upload
7-Mar-17,U-BOLT,DVM139,Front U-Bolt
7-Mar-17,Cab in white conveyer,LGO801,CIW upload
7-Mar-17,Cab Conveyer,FIX581,Cab Upload 2
7-Mar-17,Cab Conveyor / Monorail,FIX581,Cab Upload
7-Mar-17,Assembly Line Tracker,WTB963,Pool 13 Start
7-Mar-17,Assembly Line Tracker,XLW275,Pool 13 Start
7-Mar-17,U-BOLT,DVM139,Rear U-Bolt
7-Mar-17,Cab call scan,QFW209,A Line
7-Mar-17,Cab in white conveyer,FTI824,CIW upload
7-Mar-17,Paint Inspection,JOM027,PAINT
7-Mar-17,OMT Offline Tracking,MBP046,Enter Offline
7-Mar-17,Assembly Line Tracker,INW067,Pool 13 Start
7-Mar-17,STVMS Tracking Chassis Start,YHB831,Chassis Start
7-Mar-17,Cab Conveyer,MGF879,Cab Upload 2
7-Mar-17,Cab Conveyor / Monorail,MGF879,Cab Upload
7-Mar-17,Paint Inspection,DZV145,PAINT
7-Mar-17,Hood Conveyor,JOM027,Hood Upload
7-Mar-17,U-BOLT,GPJ498,Front U-Bolt
7-Mar-17,Cab in white conveyer,VCM016,CIW upload
7-Mar-17,STVMS Tracking Chassis Start,XLW275,Chassis Start
7-Mar-17,Hood Conveyor,AJF195,Hood Upload
7-Mar-17,Cab Conveyer,CSM507,Cab Upload 2
7-Mar-17,Cab Conveyor / Monorail,CSM507,Cab Upload
7-Mar-17,Assembly Line Tracker,NKM173,Pool 13 Start
7-Mar-17,STVMS Tracking Top Station,CSW718,Top Station
7-Mar-17,U-BOLT,UBJ603,Rear U-Bolt
7-Mar-17,U-BOLT,UBJ603,Front U-Bolt
7-Mar-17,Cab in white conveyer,PJL425,CIW upload
7-Mar-17,Cab Call Scan,TUQ327,B Line
7-Mar-17,Hood Conveyor,DZV145,Hood Upload
7-Mar-17,Paint Inspection,OLI345,PAINT
7-Mar-17,Assembly Line Tracker,CSW718,Pool 60 Start
7-Mar-17,Cab Conveyer,PRA475,Cab Upload 2
7-Mar-17,Cab Conveyor / Monorail,PRA475,Cab Upload
7-Mar-17,STVMS Tracking Chassis Start,WTB963,Chassis Start
7-Mar-17,OMT Offline Tracking,ACM236,Enter Offline
7-Mar-17,Cab call scan,SZP362,A Line
7-Mar-17,OMT Offline Tracking,BRL042,Enter Offline
7-Mar-17,U-BOLT,JYL728,Rear U-Bolt
7-Mar-17,Paint Inspection,PMG926,PAINT
7-Mar-17,Cab in white conveyer,CMI143,CIW upload
7-Mar-17,OMT Offline Tracking,TPG078,Enter Offline
7-Mar-17,Assembly Line Tracker,AJF195,Pool 13 Start
7-Mar-17,Assembly Line Tracker,JOM027,Pool 13 Start
7-Mar-17,Paint Inspection,UBZ174,PAINT
7-Mar-17,U-BOLT,OTS758,Front U-Bolt
7-Mar-17,Cab Call Scan,ELJ539,B Line
7-Mar-17,U-BOLT,OTS758,Rear U-Bolt
7-Mar-17,Cab in white conveyer,CFG764,CIW upload
8-Mar-17,Hood Conveyor,BEM390,Hood Upload
8-Mar-17,U-BOLT,WDM529,Front U-Bolt
8-Mar-17,STVMS Tracking Chassis Start,DFZ024,Chassis Start
8-Mar-17,OMT Offline Tracking,XKG621,Enter Offline
8-Mar-17,Cab Conveyer,UJB305,Cab Upload 2
8-Mar-17,Cab Conveyor / Monorail,UJB305,Cab Upload
8-Mar-17,Assembly Line Tracker,GDU671,Pool 13 Start
8-Mar-17,Assembly Line Tracker,TGS974,Pool 13 Start
8-Mar-17,OMT Offline Tracking,RTW145,Enter Offline
8-Mar-17,OMT Offline Tracking,RTW145,Sold
8-Mar-17,Cab Call Scan,FNG604,B Line
8-Mar-17,U-BOLT,XSF309,Front U-Bolt
8-Mar-17,Assembly Line Tracker,ELI075,Pool 13 Start
8-Mar-17,Hood Conveyor,CVE258,Hood Upload
8-Mar-17,Cab call scan,NVM832,A Line
8-Mar-17,STVMS Tracking Chassis Start,EQK798,Chassis Start
8-Mar-17,STVMS Tracking Chassis Start,TGS974,Chassis Start
8-Mar-17,STVMS Tracking Chassis Start,GDU671,Chassis Start
8-Mar-17,STVMS Tracking Chassis Start,ELI075,Chassis Start
8-Mar-17,Cab Conveyer,TGJ401,Cab Upload 2
8-Mar-17,Cab Conveyor / Monorail,TGJ401,Cab Upload
8-Mar-17,U-BOLT,GMS924,Front U-Bolt
8-Mar-17,OMT Offline Tracking,KIM819,Enter Offline
8-Mar-17,Cab Conveyor / Monorail,HRY673,Cab Upload
8-Mar-17,Cab call scan,IQS845,A Line
8-Mar-17,STVMS Tracking Chassis Start,BIP389,Chassis Start
8-Mar-17,U-BOLT,AMZ845,Front U-Bolt
8-Mar-17,Cab Call Scan,DTP539,B Line
8-Mar-17,Cab in white conveyer,SPA495,CIW upload
8-Mar-17,OMT Offline Tracking,TCS146,Enter Offline
8-Mar-17,Cab Conveyer,MRI015,Cab Upload 2
8-Mar-17,Cab Conveyor / Monorail,MRI015,Cab Upload
8-Mar-17,Assembly Line Tracker,TUQ327,Pool 13 Start
8-Mar-17,Cab in white conveyer,RAI572,CIW upload
8-Mar-17,Cab Call Scan,ZYA587,B Line
8-Mar-17,Cab Conveyer,AKC912,Cab Upload 2
8-Mar-17,Cab Conveyor / Monorail,AKC912,Cab Upload
8-Mar-17,U-BOLT,HQD748,Front U-Bolt
8-Mar-17,OMT Offline Tracking,DFZ024,Enter Offline
8-Mar-17,OMT Offline Tracking,DFZ024,Sold
8-Mar-17,STVMS Tracking Chassis Start,TUQ327,Chassis Start
8-Mar-17,Cab call scan,IBA235,A Line
8-Mar-17,U-BOLT,VQD376,Front U-Bolt
8-Mar-17,OMT Offline Tracking,JLD084,Enter Offline
8-Mar-17,Hood Conveyor,TUQ327,Hood Upload
8-Mar-17,Hood Conveyor,SVP127,Hood Upload
8-Mar-17,Cab Conveyer,OTX594,Cab Upload 2
8-Mar-17,Cab Conveyor / Monorail,OTX594,Cab Upload
8-Mar-17,Cab call scan,QVP853,A Line
8-Mar-17,U-BOLT,DZO637,Front U-Bolt
8-Mar-17,Hood Conveyor,GFM783,Hood Upload
8-Mar-17,STVMS Tracking Chassis Start,KMA503,Chassis Start
8-Mar-17,Hood Conveyor,EUZ386,Hood Upload
8-Mar-17,U-BOLT,CJQ075,Front U-Bolt
8-Mar-17,Cab Call Scan,TPJ583,B Line
8-Mar-17,U-BOLT,CJQ075,Rear U-Bolt
8-Mar-17,U-BOLT,LOF143,Front U-Bolt
8-Mar-17,U-BOLT,LOF143,Rear U-Bolt
8-Mar-17,Hood Conveyor,TMZ629,Hood Upload
8-Mar-17,Hood Conveyor,SNI285,Hood Upload
8-Mar-17,Hood Conveyor,PMN417,Hood Upload
8-Mar-17,Cab in white conveyer,GJK683,CIW upload
8-Mar-17,Cab in white conveyer,HMS840,CIW upload
8-Mar-17,Cab in white conveyer,RBT219,CIW upload
8-Mar-17,Cab in white conveyer,YKN950,CIW upload
8-Mar-17,Paint Inspection,GQV369,PAINT
8-Mar-17,Cab in white conveyer,IXT460,CIW upload
8-Mar-17,Paint Inspection,QZB271,PAINT
8-Mar-17,Cab in white conveyer,DJZ516,CIW upload
8-Mar-17,Cab in white conveyer,AQG261,CIW upload
8-Mar-17,U-BOLT,VFR160,Front U-Bolt
8-Mar-17,OMT Offline Tracking,KMA503,Enter Offline
8-Mar-17,Cab Conveyer,YAP829,Cab Upload 2
8-Mar-17,Cab Conveyor / Monorail,YAP829,Cab Upload
8-Mar-17,Assembly Line Tracker,YCR723,Pool 13 Start
8-Mar-17,Assembly Line Tracker,FHU982,Pool 13 Start
8-Mar-17,Assembly Line Tracker,IOU412,Pool 13 Start
8-Mar-17,Paint Inspection,NHZ581,PAINT
8-Mar-17,Cab in white conveyer,YKL719,CIW upload
8-Mar-17,Cab Conveyer,THO850,Cab Upload 2
8-Mar-17,Cab Conveyor / Monorail,THO850,Cab Upload
8-Mar-17,U-BOLT,ZKY831,Rear U-Bolt
8-Mar-17,U-BOLT,ZKY831,Front U-Bolt
8-Mar-17,OMT Offline Tracking,XFN395,Enter Offline
8-Mar-17,OMT Offline Tracking,TFX540,Enter Offline
8-Mar-17,OMT Offline Tracking,TFX540,Sold
